DeCodigo,DeNombre,Decade,Year,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
0,Area en Litigio Cauca - Huila,1950,1950,12,12,11836720,15358056.6666667,3521336.6666667,159364203,13280350.25,13146369,1038904.17147765,11836720,11836720,12417689.3333333,13968913.6666667,1551224.3333334
68,Santander,1950,1950,12,12,11443675.128,15160435.248,3716760.12,161529862.976,13460821.9146667,13379532.732,1074257.62063887,11443675.128,11443675.128,12794744.516,14194839.596,1400095.08
54,Norte de Santander,1950,1950,12,12,10505512.4382022,16088639.3089888,5583126.8707866,158663288.039326,13221940.6699438,13140364.7696629,1400362.11265241,10505512.4382022,10505512.4382022,12359743.4831461,13977883.3483146,1618139.8651685
20,Cesar,1950,1950,12,12,11238490.8901099,16987733.8021978,5749242.9120879,168365971.752747,14030497.6460623,13890903.1318682,1719170.98482296,11238490.8901099,11238490.8901099,12657732.8791208,15493277.7115385,2835544.83241765
8,Atlántico,1950,1950,12,12,12724430.7857143,18146834.2142857,5422403.4285714,183324809.642857,15277067.4702381,14606605.5357143,1903571.00421577,12724430.7857143,12724430.7857143,13668011.3214286,17521498.5714286,3853487.24999995
13,Bolívar,1950,1950,12,12,11294509.0506912,15974569.9815668,4680060.9308756,160970535.728111,13414211.3106759,13389215.7741936,1353747.81093259,11294509.0506912,11294509.0506912,12256211.156682,14436217.3341014,2180006.1774194
52,Nariño,1950,1950,12,12,10321934.4015748,12593590.3779528,2271655.976378,143236336.377953,11936361.3648294,12285170.9370079,744949.81722186,10321934.4015748,10321934.4015748,11423986.3622047,12533395.6299213,1109409.2677166
99,Vichada,1950,1950,12,12,10899271.5612745,18182152.9338235,7282881.372549,176600621.063726,14716718.4219771,14948825.3210784,2292692.52131797,10899271.5612745,10899271.5612745,12858526.8321078,16567195.5710784,3708668.7389706
97,Vaupés,1950,1950,12,12,11522654.5149425,17499664.3632184,5977009.8482759,168719128.411494,14059927.3676245,14171001.6758621,1554649.15413931,11522654.5149425,11522654.5149425,13167967.983908,14923393.6425287,1755425.65862065
91,Amazonas,1950,1950,12,12,11588961.1235955,16441390.8382022,4852429.7146067,166550706.808989,13879225.5674157,13996821.9573034,1339923.51835016,11588961.1235955,11588961.1235955,13118646.0820225,14620320.8651685,1501674.78314605
86,Putumayo,1950,1950,12,12,10659225.7884615,16353557.9903846,5694332.2019231,158169521.759615,13180793.4799679,13302767.9807693,1578848.34653234,10659225.7884615,10659225.7884615,12031243.5576923,14041996.576923,2010753.01923075
81,Arauca,1950,1950,12,12,10417155.2437811,16534979.641791,6117824.3980099,168517919.104478,14043159.9253731,14772097.8358209,2007753.95926219,10417155.2437811,10417155.2437811,12666883.4527363,15517717.4776119,2850834.0248756
76,Valle del Cauca,1950,1950,12,12,9191382.47953216,11719715.6842105,2528333.20467834,124938280.239766,10411523.3533138,10501252.7894737,699063.43404036,9191382.47953216,9191382.47953216,9880831.74269008,10861677.622807,980845.880116925
70,Sucre,1950,1950,12,12,11632001.816092,15949765.3103448,4317763.4942528,163328327.471264,13610693.9559387,13413760.9195402,1278078.71904251,11632001.816092,11632001.816092,12559861.137931,14613180.5747126,2053319.43678165
47,Magdalena,1950,1950,12,12,11580808.6256983,16680304.4469274,5099495.8212291,168736284.837989,14061357.0698324,13728333.3798883,1602618.7006814,11580808.6256983,11580808.6256983,12607508.9217877,15500737.0614525,2893228.1396648
44,La Guajira,1950,1950,12,12,13190200.1910828,17907864.6369427,4717664.4458599,185207882.191083,15433990.1825902,14909818.6369427,1496588.83158426,13190200.1910828,13190200.1910828,14443028.3121019,16902763.3121019,2459735
94,Guainía,1950,1950,12,12,11236248.6815835,16937891.3218589,5701642.6402754,167278819.566265,13939901.6305221,14283219.3253012,1613123.02985059,11236248.6815835,11236248.6815835,12805949.1790017,14827676.7383821,2021727.55938035
23,Córdoba,1950,1950,12,12,11083894.8811881,14869648.2574257,3785753.3762376,153968742.945544,12830728.5787954,12886087.7326733,1104710.54387558,11083894.8811881,11083894.8811881,11894692.9950495,13664968.9727722,1770275.97772275
27,Chocó,1950,1950,12,12,7717433.30279898,12184759.302799,4467326.00000002,115173330.908397,9597777.57569975,9279531.80407124,1380441.27122329,7717433.30279898,7717433.30279898,8581717.12468193,10819700.2442748,2237983.11959286
17,Caldas,1950,1950,12,12,10730007.6,14674489.9,3944482.3,147229323.966667,12269110.3305556,11958471.75,1250658.86422018,10730007.6,10730007.6,11336284.75,13076871.8166666,1740587.06666665
18,Caquetá,1950,1950,12,12,10819787.5582011,17362686.8492064,6542899.2910053,165346404.12037,13778867.0100309,14225398.0026455,1821532.73416692,10819787.5582011,10819787.5582011,12440266.1375661,14649760.7526455,2209494.61507935
25,Cundinamarca,1950,1950,12,12,11000377.1675127,15533284.1015228,4532906.9340101,158443795.106599,13203649.5922166,13132714.1269035,1141772.69689567,11000377.1675127,11000377.1675127,12338443.3553299,14018628.6852792,1680185.32994925
41,Huila,1950,1950,12,12,11700236.4133333,15765487.5333333,4065251.12,165126831.92,13760569.3266667,13728289.12,1121536.66563302,11700236.4133333,11700236.4133333,13176286.56,14211991.0933333,1035704.5333333
