PuntoNum,CubiertaID,CX,CY
0,5,4884299.798999999649823,2086672.517999999923632
1,5,4884370.907999999821186,2086661.383000000147149
2,5,4884369.303999999538064,2086651.364000000059605
3,5,4884298.166000000201166,2086662.422000000020489
4,5,4884299.798999999649823,2086672.517999999923632
5,1,4884302.171000000089407,2086687.006999999983236
6,1,4884373.070000000298023,2086675.710999999893829
7,1,4884371.626000000163913,2086665.638999999966472
8,1,4884300.485999999567866,2086676.604999999981374
9,1,4884302.171000000089407,2086687.006999999983236
10,2,4884500.210000000894070,2086645.066000000108033
11,2,4884508.780000000260770,2086646.743999999947846
12,2,4884513.400000000372529,2086625.267000000225380
13,2,4884504.830000000074506,2086623.588000000221655
14,2,4884500.210000000894070,2086645.066000000108033
15,3,4884390.855999999679625,2086672.199999999953434
16,3,4884434.281000000424683,2086643.168000000063330
17,3,4884428.233000000007451,2086633.894000000087544
18,3,4884431.127000000327826,2086631.941000000108033
19,3,4884428.543999999761581,2086627.902999999700114
20,3,4884384.136999999172986,2086657.379999999888241
21,3,4884386.927000000141561,2086661.581999999703839
22,3,4884384.612999999895692,2086663.087999999988824
23,3,4884390.855999999679625,2086672.199999999953434
24,4,4884167.531000000424683,2086702.435000000288710
25,4,4884218.065999999642372,2086694.456999999936670
26,4,4884216.299999998882413,2086683.419999999925494
27,4,4884165.726000000722706,2086691.267999999923632
28,4,4884167.531000000424683,2086702.435000000288710
84,8,4884441.856999999843538,2086528.736000000033528
87,8,4884456.542999999597669,2086518.983000000007451
86,8,4884448.378999999724329,2086506.514999999897555
85,8,4884433.692999999970198,2086516.057000000029802
88,8,4884441.856999999843538,2086528.736000000033528
34,6,4884376.094999999739230,2086573.567999999970198
35,6,4884448.316999999806285,2086588.537000000011176
36,6,4884452.105999999679625,2086571.085999999893829
37,6,4884383.637000000104308,2086557.141000000061467
38,6,4884382.690000000409782,2086561.625000000000000
39,6,4884378.743999999947846,2086560.810000000055879
40,6,4884376.094999999739230,2086573.567999999970198
41,7,4884368.260000000707805,2086601.443999999901280
42,7,4884439.578999998979270,2086616.777999999932945
43,7,4884442.664000000804663,2086602.647000000346452
44,7,4884371.221000000834465,2086587.469000000040978
45,7,4884368.260000000707805,2086601.443999999901280
46,8,4884455.246000000275671,2086557.097000000067055
47,8,4884476.548999999649823,2086543.638999999966472
48,8,4884474.787999999709427,2086540.612999999895692
49,8,4884477.510999999940395,2086538.730999999912456
50,8,4884475.871000000275671,2086536.067999999970198
51,8,4884478.564000000245869,2086534.483999999938533
52,8,4884475.255000000819564,2086529.103000000119209
53,8,4884482.307999999262393,2086524.202000000048429
54,8,4884476.139999999664724,2086514.503999999957159
55,8,4884473.691999999806285,2086516.020999999949709
56,8,4884471.593999999575317,2086512.573000000324100
57,8,4884468.967000000178814,2086514.300999999977648
58,8,4884467.231000000610948,2086511.429000000003725
59,8,4884459.908999999985099,2086516.164999999804422
60,8,4884457.269000000320375,2086511.882999999914318
61,8,4884471.877000000327826,2086502.179999999934807
62,8,4884464.716000000014901,2086491.262000000104308
63,8,4884459.724000000394881,2086494.479999999981374
64,8,4884458.235999999567866,2086491.998999999836087
65,8,4884447.464999999850988,2086499.041999999899417
66,8,4884444.667000000365078,2086494.361999999964610
67,8,4884442.031000000424683,2086496.085999999893829
68,8,4884440.105999999679625,2086492.977999999886379
69,8,4884434.308000000193715,2086496.710999999660999
70,8,4884430.980000000447035,2086491.290000000037253
71,8,4884418.390999999828637,2086499.290999999968335
72,8,4884416.627999999560416,2086496.392999999923632
73,8,4884405.495000000111759,2086503.553000000305474
74,8,4884410.116000000387430,2086510.807999999960884
75,8,4884405.324000000022352,2086513.884000000078231
76,8,4884409.428999998606741,2086520.514999999897555
77,8,4884424.996000000275671,2086510.593000000109896
78,8,4884428.127000000327826,2086515.529000000096858
79,8,4884401.830000000074506,2086532.198000000091270
80,8,4884410.468000000342727,2086545.801999999908730
81,8,4884426.383000000379980,2086535.722000000067055
82,8,4884429.418999999761581,2086540.442000000039116
89,8,4884438.597000000067055,2086542.691000000108033
90,8,4884464.224999999627471,2086525.668000000063330
91,8,4884467.260999999940395,2086530.449000000022352
92,8,4884446.688000000081956,2086543.989000000059605
93,8,4884455.246000000275671,2086557.097000000067055
93,9,4884295.641999999992549,2086640.202999999979511
94,9,4884310.944000000134110,2086643.016999999992549
95,9,4884314.067999999970198,2086627.709000000031665
96,9,4884335.519999999552965,2086614.193999999901280
97,9,4884326.924999999813735,2086600.686999999918044
98,9,4884299.751000000163913,2086617.820999999996275
99,9,4884295.641999999992549,2086640.202999999979511
100,10,4884248.916000000201166,2086668.733000000007451
101,10,4884283.182000000029802,2086663.257999999914318
102,10,4884281.150999999605119,2086650.902999999932945
103,10,4884246.787000000476837,2086656.267999999923632
104,10,4884248.916000000201166,2086668.733000000007451
105,11,4884160.876000000163913,2086682.689000000013039
106,11,4884206.603000000119209,2086675.493999999947846
107,11,4884204.633000001311302,2086662.848999999929219
108,11,4884164.322999999858439,2086669.191000000108033
109,11,4884165.304999999701977,2086674.908999999985099
110,11,4884159.738999999128282,2086675.746000000042841
111,11,4884160.876000000163913,2086682.689000000013039
112,12,4884207.355999999679625,2086676.379999999888241
113,12,4884247.217000000178814,2086670.139000000199303
114,12,4884246.088999999687076,2086662.930000000167638
115,12,4884206.226999999023974,2086669.171000000089407
116,12,4884207.355999999679625,2086676.379999999888241
117,13,4884205.993999999947846,2086666.587000000057742
118,13,4884245.854999999515712,2086660.345999999903142
119,13,4884244.725999999791384,2086653.137000000104308
120,13,4884204.865000000223517,2086659.378000000026077
121,13,4884205.993999999947846,2086666.587000000057742
122,14,4883997.138000000268221,2086651.516000000061467
123,14,4884027.748999999836087,2086646.618000000016764
124,14,4884022.775999999605119,2086615.537000000011176
125,14,4883992.165999999269843,2086620.435000000055879
126,14,4883997.138000000268221,2086651.516000000061467
127,15,4884196.936000000685453,2086488.149999999674037
128,15,4884254.972000000067055,2086479.314999999944121
129,15,4884253.797000000253320,2086471.598999999929219
130,15,4884195.760999999940395,2086480.433999999891967
131,15,4884196.936000000685453,2086488.149999999674037
132,16,4884236.572999999858439,2086443.996999999973923
133,16,4884250.864000000059605,2086441.729999999748543
134,16,4884249.519999999552965,2086433.254999999888241
135,16,4884235.229000000283122,2086435.520999999949709
136,16,4884236.572999999858439,2086443.996999999973923
137,17,4884214.591000000014901,2086447.074999999953434
138,17,4884229.043999999761581,2086444.858999999938533
139,17,4884227.747000000439584,2086436.398999999975786
140,17,4884213.293999999761581,2086438.615999999921769
