AREA_HIDRO,CATEGORIA,count,min,max,range,mean,stddev
(No data),(No data),2,26.01643836,26.01643836,0,26.01643836,0
Amazonas,Agrometeorol�g,4,14.34520548,54.91232877,40.56712329,35.45684932,18.19699415
Amazonas,Climatol�gica Ordina,25,1.334246575,58.25205479,56.91780822,30.56306849,20.49990006
Amazonas,Climatol�gica Princi,18,5.482191781,61.41917808,55.9369863,29.90182648,18.55132687
Amazonas,Limnigr�f,28,0.78630137,69.92328767,69.1369863,36.90733855,18.02759163
Amazonas,Limnim�tr,100,0.076712329,55.15342466,55.07671233,27.19589041,17.12069537
Amazonas,Meteorol�gica Espec,1,2.336986301,2.336986301,0,2.336986301,0
Amazonas,Pluviogr�f,5,5.917808219,66.84383562,60.9260274,36.56767123,21.62734065
Amazonas,Pluviom�tr,88,0.663013699,66.59178082,65.92876712,27.37353674,18.18512448
Amazonas,Radio Sonda,2,9.74520548,40.82465753,31.07945205,25.28493151,15.53972603
Amazonas,Sin�ptica Princi,2,16.45479452,19.67945205,3.224657534,18.06712329,1.612328767
Amazonas,Sin�ptica Secunda,1,43.77808219,43.77808219,0,43.77808219,0
Caribe,Agrometeorol�g,17,0.61369863,48.4109589,47.79726027,16.01659952,13.84039641
Caribe,Ambiental,1,6.350684932,6.350684932,0,6.350684932,0
Caribe,Climatol�gica Ordina,97,0.252054795,75.0109589,74.75890411,23.59135715,21.10046795
Caribe,Climatol�gica Princi,85,0.35890411,86.01917808,85.66027397,23.36402901,21.42653432
Caribe,Limnigr�f,97,0,67.10410959,67.10410959,26.69707668,20.2958433
Caribe,Limnim�tr,204,0.167123288,67.84383562,67.67671233,23.36458501,18.33359374
Caribe,Meteorol�gica Espec,10,5.421917808,34.98356164,29.56164384,11.40712329,8.252398272
Caribe,Meteorologica Marina,31,0.032876712,44.77808219,44.74520548,12.03711887,10.45345243
Caribe,Pluviogr�f,45,1.838356164,55.22191781,53.38356164,27.22210046,17.1606596
Caribe,Pluviom�tr,394,0,88.35342466,88.35342466,33.490105,22.4295654
Caribe,Radio Sonda,3,9.74520548,28.73150685,18.98630137,19.79634703,7.791190382
