AREA_HIDRO,CATEGORIA,count,min,max,range,mean,stddev
(No data),(No data),2,26.01643836,26.01643836,0,26.01643836,0
Amazonas,Agrometeorol�g,4,4.126027397,46.03013699,41.90410959,29.16917808,17.82599412
Amazonas,Climatol�gica Ordina,25,0,46.03013699,46.03013699,25.17994521,19.34223074
Amazonas,Climatol�gica Princi,18,5.482191781,46.03013699,40.54794521,27.54885845,15.38982753
Amazonas,Limnigr�f,28,0,46.03013699,46.03013699,33.99530333,15.6323597
Amazonas,Limnim�tr,100,0,46.03013699,46.03013699,25.75616438,16.81426904
Amazonas,Meteorol�gica Espec,1,2.336986301,2.336986301,0,2.336986301,0
Amazonas,Pluviogr�f,5,0,46.03013699,46.03013699,28.86794521,19.99707672
Amazonas,Pluviom�tr,88,0,46.03013699,46.03013699,24.83779577,18.58270428
Amazonas,Radio Sonda,2,9.74520548,40.82465753,31.07945205,25.28493151,15.53972603
Amazonas,Sin�ptica Princi,2,4.709589041,16.45479452,11.74520548,10.58219178,5.87260274
Amazonas,Sin�ptica Secunda,1,11.79452055,11.79452055,0,11.79452055,0
Caribe,Agrometeorol�g,17,0.61369863,46.03013699,45.41643836,15.8443191,13.44746486
Caribe,Ambiental,1,6.350684932,6.350684932,0,6.350684932,0
Caribe,Climatol�gica Ordina,97,0,46.03013699,46.03013699,16.78161277,18.77007651
Caribe,Climatol�gica Princi,85,0.35890411,46.03013699,45.67123288,19.9473328,15.56591498
Caribe,Limnigr�f,97,0,46.03013699,46.03013699,23.43993786,17.39682411
Caribe,Limnim�tr,204,0,46.03013699,46.03013699,20.58608649,15.84588468
Caribe,Meteorol�gica Espec,10,2.956164384,34.98356164,32.02739726,11.16054795,8.46173032
Caribe,Meteorologica Marina,31,0.032876712,34.48767123,34.45479452,11.02695537,8.587207019
Caribe,Pluviogr�f,45,0,46.03013699,46.03013699,25.06550989,17.07857732
Caribe,Pluviom�tr,394,0,46.03013699,46.03013699,24.7824282,20.46699064
Caribe,Radio Sonda,3,9.74520548,28.73150685,18.98630137,19.79634703,7.791190382
Caribe,Sin�ptica Princi,9,10.56712329,46.03013699,35.4630137,36.17656012,13.49075216
Caribe,Sin�ptica Secunda,2,0,10.90684932,10.90684932,5.453424658,5.453424658
Magdalena Cauca,Agrometeorol�g,69,0,46.03013699,46.03013699,15.13071273,14.20076746
Magdalena Cauca,Ambiental,5,8.115068493,11.2739726,3.15890411,9.928767123,1.017078409
Magdalena Cauca,Climatol�gica Ordina,631,0,46.03013699,46.03013699,19.01352495,19.69708177
Magdalena Cauca,Climatol�gica Princi,568,0,46.03013699,46.03013699,19.00410959,14.44941252
Magdalena Cauca,HidroMeteorologica,6,13.17260274,22.85205479,9.679452055,19.26347032,3.668675391
Magdalena Cauca,Limnigr�f,763,0,46.03013699,46.03013699,22.92135586,18.1209772
Magdalena Cauca,Limnim�tr,1318,0,46.03013699,46.03013699,21.97593905,18.83091334
Magdalena Cauca,Meteorol�gica Espec,121,0,46.03013699,46.03013699,24.12451036,18.38094726
Magdalena Cauca,Meteorologica Marina,5,3.947945206,9.797260274,5.849315069,8.62739726,2.339726027
Magdalena Cauca,Pluviogr�f,467,0,46.03013699,46.03013699,26.27364407,17.78381473
Magdalena Cauca,Pluviom�tr,2643,0,46.03013699,46.03013699,26.22533754,20.98988811
Magdalena Cauca,Radio Sonda,6,7.243835616,46.03013699,38.78630137,14.87579909,13.96373375
Magdalena Cauca,Sin�ptica Princi,18,0,46.03013699,46.03013699,25.16590563,17.228214
Magdalena Cauca,Sin�ptica Secunda,8,0,46.03013699,46.03013699,21.59623288,21.87409064
Orinoco,Agrometeorol�g,38,0.605479452,46.03013699,45.42465753,8.118601298,9.353346581
Orinoco,Climatol�gica Ordina,66,0,46.03013699,46.03013699,22.78538813,18.26160079
Orinoco,Climatol�gica Princi,75,0,46.03013699,46.03013699,19.44920548,15.67864209
Orinoco,Limnigr�f,100,0,46.03013699,46.03013699,25.53309589,17.96473244
Orinoco,Limnim�tr,288,0,46.03013699,46.03013699,28.69977169,15.99896791
Orinoco,Meteorol�gica Espec,25,0,46.03013699,46.03013699,18.1410411,17.08312342
Orinoco,Pluviogr�f,59,0,46.03013699,46.03013699,31.29983747,16.27445186
