AREA_HIDRO,ZONA_HIDRO,count,min,max,range,mean,stddev
(No data),(No data),2,26.01643836,26.01643836,0,26.01643836,0
Amazonas,Amazonas - Directos,16,1.331506849,48.99178082,47.66027397,21.85136986,13.83624146
Amazonas,Apaporis,1,5.58630137,5.58630137,0,5.58630137,0
Amazonas,Caguï,16,0.076712329,58.25205479,58.17534247,31.33938356,21.17005095
Amazonas,Caquet?,131,0.328767123,61.41917808,61.09041096,26.95608073,18.67723668
Amazonas,Guanï,1,45.99178082,45.99178082,0,45.99178082,0
Amazonas,Putumayo,90,1.334246575,69.92328767,68.5890411,30.6056621,18.24950318
Amazonas,Vaupes,18,9.501369863,48.99178082,39.49041096,40.43287671,7.696260326
Amazonas,Yar?,1,5.482191781,5.482191781,0,5.482191781,0
Caribe,Atrato - Dariï,155,0,83.01643836,83.01643836,31.499019,20.98292974
Caribe,Caribe - Guajira,245,0.167123288,88.35342466,88.18630137,23.96878949,20.74227851
Caribe,Caribe - Litoral,123,0.668493151,80.09863014,79.43013699,30.32794298,21.41602334
Caribe,Catatumbo,263,0,86.01917808,86.01917808,28.18684306,21.46369434
Caribe,Islas Caribe,32,0.032876712,68.00547945,67.97260274,25.21703767,21.64134197
Caribe,Sin?,177,0.252054795,67.33972603,67.08767123,26.37901091,21.42298485
Magdalena Cauca,Alto Magdalena,1702,0,111.9917808,111.9917808,29.72401526,23.97499486
Magdalena Cauca,Bajo Magdalena,439,0.084931507,101.0273973,100.9424658,26.00301432,23.06779468
Magdalena Cauca,Bajo Magdalena- Cauca -San Jorge,170,0.252054795,85.60273973,85.35068493,27.0156809,22.67045974
Magdalena Cauca,Cauca,1862,0,126.0465753,126.0465753,32.76751615,23.10578166
Magdalena Cauca,Cesar,276,0,92.02191781,92.02191781,22.68955728,23.88368567
Magdalena Cauca,Medio Magdalena,1020,0,94.52876712,94.52876712,30.10071716,21.4348962
Magdalena Cauca,Nech?,437,0.334246575,90.02191781,89.68767123,30.38779976,22.57704173
Magdalena Cauca,Saldaï,112,0.082191781,72.09315068,72.0109589,29.27977006,21.70838747
Magdalena Cauca,Sogamoso,610,0,96.93972603,96.93972603,32.08804402,24.37306613
Orinoco,Arauca,59,0.580821918,75.68219178,75.10136986,28.39972138,22.73648448
Orinoco,Casanare,28,0.178082192,43.0739726,42.89589041,20.36516634,14.74939079
Orinoco,Guaviare,107,0.334246575,66.00547945,65.67123288,28.19411087,18.07547376
Orinoco,Inï¿½r,3,22.78082192,43.66027397,20.87945205,36.11506849,9.455954989
Orinoco,Meta,718,0,124.1808219,124.1808219,31.69647804,21.47449404
Orinoco,Orinoco Directos,23,0.580821918,66.00547945,65.42465753,39.01762954,21.0451395
Orinoco,Tomo,7,0.287671233,58.41917808,58.13150685,26.92015656,21.06187999
Orinoco,Vichada,5,7.191780822,53.66575342,46.4739726,30.96821918,18.55412734
Pacifico,Baudï¿½ - Directos Pacif,9,0.167123288,52.41369863,52.24657534,20.26484018,17.75330656
Pacifico,ISLAS PACIFICO,5,0.032876712,0.032876712,0,0.032876712,0
Pacifico,Mira,28,0.693150685,74.34520548,73.65205479,26.94148728,20.02472058
Pacifico,Pacï¿½fico - Direc,10,0.58630137,63.00273973,62.41643836,16.91753425,17.66757594
Pacifico,Patï,182,0.084931507,74.43013699,74.34520548,34.61844046,21.51029964
Pacifico,San Juï,140,0.328767123,111.0356164,110.7068493,37.19209393,23.45420202
Pacifico,Tapaje - Dagua - Directos,121,0.167123288,84.68767123,84.52054795,28.08246349,21.85688703
