AREA_HIDRO,ZONA_HIDRO,count,min,max,range,mean,stddev
(No data),(No data),2,26.01643836,26.01643836,0,26.01643836,0
Amazonas,Amazonas - Directos,16,0,46.03013699,46.03013699,21.58304795,13.61603319
Amazonas,Apaporis,1,5.58630137,5.58630137,0,5.58630137,0
Amazonas,Caguï,16,0,46.03013699,46.03013699,27.04674658,19.63263223
Amazonas,Caquet?,131,0,46.03013699,46.03013699,24.61321761,17.92982993
Amazonas,Guanï,1,45.99178082,45.99178082,0,45.99178082,0
Amazonas,Putumayo,90,0,46.03013699,46.03013699,27.14063927,17.66165986
Amazonas,Vaupes,18,0,46.03013699,46.03013699,37.96362253,11.55069178
Amazonas,Yar?,1,5.482191781,5.482191781,0,5.482191781,0
Caribe,Atrato - Dariï,155,0,46.03013699,46.03013699,26.6914008,18.83933792
Caribe,Caribe - Guajira,245,0,46.03013699,46.03013699,18.99662287,17.8115829
Caribe,Caribe - Litoral,123,0,46.03013699,46.03013699,25.11644949,19.02593358
Caribe,Catatumbo,263,0,46.03013699,46.03013699,21.52042294,17.93007891
Caribe,Islas Caribe,32,0.032876712,46.03013699,45.99726027,22.64880137,18.21882948
Caribe,Sin?,177,0,46.03013699,46.03013699,20.04821608,17.90195527
Magdalena Cauca,Alto Magdalena,1702,0,46.03013699,46.03013699,23.0863561,18.99907789
Magdalena Cauca,Bajo Magdalena,439,0,46.03013699,46.03013699,19.7650014,20.30000759
Magdalena Cauca,Bajo Magdalena- Cauca -San Jorge,170,0,46.03013699,46.03013699,21.59713135,20.12200418
Magdalena Cauca,Cauca,1862,0,46.03013699,46.03013699,25.51412386,19.44360905
Magdalena Cauca,Cesar,276,0,46.03013699,46.03013699,15.82114354,20.07939697
Magdalena Cauca,Medio Magdalena,1020,0,46.03013699,46.03013699,23.97484824,18.87290255
Magdalena Cauca,Nech?,437,0,46.03013699,46.03013699,23.19731043,18.678747
Magdalena Cauca,Saldaï,112,0,46.03013699,46.03013699,24.61455479,19.09274451
Magdalena Cauca,Sogamoso,610,0,46.03013699,46.03013699,24.34640467,20.21752647
Orinoco,Arauca,59,0,46.03013699,46.03013699,23.42368238,17.91362502
Orinoco,Casanare,28,0,43.0739726,43.0739726,20.26086106,14.88712958
Orinoco,Guaviare,107,0,46.03013699,46.03013699,26.40478812,17.66919466
Orinoco,Inï¿½r,3,22.78082192,43.66027397,20.87945205,36.11506849,9.455954989
Orinoco,Meta,718,0,46.03013699,46.03013699,26.97680391,18.20499598
Orinoco,Orinoco Directos,23,0,46.03013699,46.03013699,31.67087552,16.36583826
Orinoco,Tomo,7,0.287671233,46.03013699,45.74246575,23.14755382,16.74007356
Orinoco,Vichada,5,7.191780822,46.03013699,38.83835616,28.74794521,17.66925906
Pacifico,Baudï¿½ - Directos Pacif,9,0.167123288,46.03013699,45.8630137,19.55555556,16.54083399
Pacifico,ISLAS PACIFICO,5,0.032876712,0.032876712,0,0.032876712,0
Pacifico,Mira,28,0,46.03013699,46.03013699,22.31516634,17.65754778
Pacifico,Pacï¿½fico - Direc,10,0,46.03013699,46.03013699,14.37780822,14.15589303
Pacifico,Patï,182,0,46.03013699,46.03013699,27.88304983,17.66689308
Pacifico,San Juï,140,0,46.03013699,46.03013699,30.65303327,18.81051465
Pacifico,Tapaje - Dagua - Directos,121,0,46.03013699,46.03013699,23.06065889,19.42514505
