CATEGORIA,count,min,max,range,mean,stddev
Ambiental,7,6.350684932,11.2739726,4.923287671,9.583561644,1.625254409
Meteorologica Marina,51,0.032876712,84.68767123,84.65479452,12.76986301,16.31952991
Agrometeorol�g,130,0.605479452,96.02465753,95.41917808,15.97603793,18.14597431
HidroMeteorologica,6,13.17260274,22.85205479,9.679452055,19.26347032,3.668675391
Radio Sonda,14,7.243835616,66.00547945,58.76164384,19.73502935,16.68529572
Climatol�gica Princi,798,0,95.02465753,95.02465753,21.90508463,18.8057503
Meteorol�gica Espec,168,0.178082192,71.26027397,71.08219178,24.168803,19.91910048
(No data),2,26.01643836,26.01643836,0,26.01643836,0
Climatol�gica Ordina,882,0,126.0465753,126.0465753,27.3993539,22.75239222
Limnim�tr,1937,0,124.1808219,124.1808219,27.97290542,21.90469936
Limnigr�f,1082,0,99.53150685,99.53150685,28.80549211,22.78304518
Pluviogr�f,601,0.082191781,89.9369863,89.85479452,32.42790782,22.81342074
Pluviom�tr,3617,0,111.0356164,111.0356164,34.71247117,22.99627194
Sin�ptica Secunda,14,2.915068493,96.02465753,93.10958904,38.62054795,24.44653253
Sin�ptica Princi,35,9.468493151,101.2794521,91.8109589,44.46058708,28.84605388
