CATEGORIA,count,min,max,range,mean,stddev
Ambiental,7,6.350684932,11.2739726,4.923287671,9.583561644,1.625254409
Meteorologica Marina,51,0.032876712,46.03013699,45.99726027,10.84265377,10.49557428
Agrometeorol�g,130,0,46.03013699,46.03013699,14.07218124,14.12553057
Radio Sonda,14,7.205479452,46.03013699,38.82465753,17.43776908,12.89335171
Sin�ptica Secunda,14,0,46.03013699,46.03013699,18.34696673,19.14670182
HidroMeteorologica,6,13.17260274,22.85205479,9.679452055,19.26347032,3.668675391
Climatol�gica Princi,798,0,46.03013699,46.03013699,19.52796031,14.71004584
Climatol�gica Ordina,882,0,46.03013699,46.03013699,19.6407542,19.55103355
Meteorol�gica Espec,168,0,46.03013699,46.03013699,21.60094586,17.96743148
Limnim�tr,1937,0,46.03013699,46.03013699,23.14540208,18.21871202
Limnigr�f,1082,0,46.03013699,46.03013699,24.05006457,18.09632535
(No data),2,26.01643836,26.01643836,0,26.01643836,0
Pluviogr�f,601,0,46.03013699,46.03013699,26.36948009,17.85706356
Pluviom�tr,3617,0,46.03013699,46.03013699,26.48009059,20.72252461
Sin�ptica Princi,35,0,46.03013699,46.03013699,29.12101761,16.98017864
