DeCodigo,DeNombre,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
0,Area en Litigio Cauca - Huila,75,75,52781702,192076061.333333,139294359.333333,12759340690.3333,170124542.537778,172292065,15993047.2460056,52781702,52781702,168741595.666667,176692299.166667,7950703.49999949
68,Santander,75,75,59988087.056,190332617.108,130344530.052,13173533371.972,175647111.626293,177613551.632,15659815.2828147,59988087.056,59988087.056,172474936.134,182817665.524,10342729.39
54,Norte de Santander,75,75,59980374.5617978,189682410.404494,129702035.842696,13052379974.9831,174031732.999775,175185194.168539,15460538.3281272,59980374.5617978,59980374.5617978,171131029.707865,181741490.365169,10610460.6573035
20,Cesar,75,75,62281691.4285714,194516273.412088,132234581.983517,13516746276.0165,180223283.68022,181478748.791209,15623192.723416,62281691.4285714,62281691.4285714,178642016.076923,186217386.799451,7575370.7225275
8,Atl?ntico,75,75,66047608.0714286,208927496.571428,142879888.499999,14522847264.9286,193637963.532381,195854974.071429,16791205.135054,66047608.0714286,66047608.0714286,192185231.642857,200116162.142857,7930930.50000048
13,Bol?var,75,75,60304408,192516666.682028,132212258.682028,13098376517.4424,174645020.232565,175910187.654378,15770545.9091711,60304408,60304408,171470216.218894,182601426.140553,11131209.921659
52,Nari?o,75,75,46342524.2755905,154636084.259842,108293559.984251,10912549019.9016,145500653.598688,146937546.968504,12809230.926493,46342524.2755905,46342524.2755905,145001014.811024,150049633.970473,5048619.1594485
99,Vichada,75,75,63413986.1691177,193794103.426471,130380117.257353,12858563718.7451,171447516.249935,173005548.926471,14625334.2453103,63413986.1691177,63413986.1691177,167812226.88848,177887900.639705,10075673.751225
97,Vaup?s,75,75,57984466.8781609,187390400.928736,129405934.050575,12435682056.3609,165809094.084812,165749498.213793,14817598.9786624,57984466.8781609,57984466.8781609,163589058.682759,171057893.108046,7468834.42528749
91,Amazonas,75,75,56297372.0449438,185588144.657303,129290772.612359,12366523472.0067,164886979.626757,165311210.011236,14819191.7988067,56297372.0449438,56297372.0449438,162882247.342696,169678766.549439,6796519.20674202
86,Putumayo,75,75,51668682.7307692,185513094.307692,133844411.576923,12311670503.25,164155606.71,166110600.793269,15478725.6451481,51668682.7307692,51668682.7307692,161153508.646635,169986841.884615,8833333.23798001
81,Arauca,75,75,60693741.8706468,185443888.915423,124750147.044776,12666397408.005,168885298.7734,170166950.149254,14784450.6476803,60693741.8706468,60693741.8706468,165420049.689054,176344849.032339,10924799.343284
76,Valle del Cauca,75,75,45354647.8128655,154358004.432749,109003356.619884,10198944418.538,135985925.580507,137196259.076023,12669585.6872203,45354647.8128655,45354647.8128655,133793480.850877,140933624.093567,7140143.24269
70,Sucre,75,75,59781547.954023,189649079.781609,129867531.827586,13110448673.2759,174805982.310345,176726381.850575,15335535.3646775,59781547.954023,59781547.954023,172955946.649425,180609761.925287,7653815.27586201
47,Magdalena,75,75,62267072.5251397,193397144.396648,131130071.871508,13450230168.8883,179336402.251844,181164618.01676,15407520.5513306,62267072.5251397,62267072.5251397,177999197.00838,185485018.240223,7485821.2318435
44,La Guajira,75,75,65673486.4076433,204014578.101911,138341091.694268,14398505166.7261,191980068.889682,193965582.305732,16131847.7694576,65673486.4076433,65673486.4076433,190787036.697452,198044824.901273,7257788.20382148
94,Guain?a,75,75,60467092.9982788,187096812.977625,126629719.979346,12349858008.136,164664773.441813,165541414.228916,14319797.9357835,60467092.9982788,60467092.9982788,161213657.740964,169620369.401033,8406711.66006899
